movie,city,theater_count,estimated_city_gross
A Man Apart,Miami,50,"$10,563.10"
Agent Cody Banks,Miami,50,"$19,339.79"
Kill List,Miami,50,$10.61
The Clovehitch Killer,Miami,50,$3.31
The Rover,Miami,50,$447.48
Deception,Miami,50,"$1,854.88"
The Pink Panther 2,Miami,50,"$14,492.43"
Run All Night,Miami,50,"$10,675.44"
House of Sand and Fog,Miami,50,"$5,246.81"
The Bad Lieutenant: Port of Call - New Orleans,Miami,50,$685.01
Breach,Miami,50,"$13,406.51"
The Fifth Estate,Miami,50,"$1,312.83"
Marshall,Miami,50,"$4,055.15"
The Brave One,Miami,50,"$14,843.75"
Bandits,Miami,50,"$16,772.68"
High Crimes,Miami,50,"$16,759.80"
Alex Cross,Miami,50,"$10,444.18"
The Brothers Bloom,Miami,50,"$1,419.93"
Irrational Man,Miami,50,"$1,624.92"
Red State,Miami,50,$445.66
Blonde and Blonder,Miami,50,$17.02
Saw IV,Miami,50,"$25,537.20"
Lizzie,Miami,50,$259.07
London Boulevard,Miami,50,$2.79
Control,Miami,50,$95.69
Miss Bala,Miami,50,"$6,054.21"
Batman: The Killing Joke,Miami,50,"$1,522.95"
Basic,Miami,50,"$10,705.48"
Charlie Says,Miami,50,$15.94
Big Momma's House 2,Miami,50,"$28,307.10"
The Snowtown Murders,Miami,50,$3.23
Untraceable,Miami,50,"$11,573.55"
Harsh Times,Miami,50,"$1,346.62"
The Proposition,Miami,50,$766.81
Runner Runner,Miami,50,"$7,792.93"
Starred Up,Miami,50,$13.76
Dahmer,Miami,50,$58.10
A Prophet,Miami,50,$841.01
Vantage Point,Miami,50,"$29,154.44"
Hot Pursuit,Miami,50,"$13,921.21"
Suburbicon,Miami,50,"$2,329.88"
In the Fade,Miami,50,$129.51
Free Fire,Miami,50,$725.56
The Green Hornet,Miami,50,"$39,850.89"
Joe,Miami,50,$150.63
The Ladykillers,Miami,50,"$16,056.21"
Reindeer Games,Miami,50,"$9,424.45"
Torque,Miami,50,"$8,558.80"
Kangaroo Jack,Miami,50,"$27,003.61"
Term Life,Miami,50,$5.26
Nothing But the Truth,Miami,50,$1.23
"Big Mommas: Like Father, Like Son",Miami,50,"$15,296.24"
In the Valley of Elah,Miami,50,"$2,734.35"
Hollywoodland,Miami,50,"$5,815.54"
Secret in Their Eyes,Miami,50,"$8,141.29"
Primeval,Miami,50,"$4,275.45"
3-Iron,Miami,50,$96.22
Memoir of a Murderer,Miami,50,$36.85
Cop Out,Miami,50,"$18,104.14"
Gomorrah,Miami,50,$636.47
White Girl,Miami,50,$80.08
Son of a Gun,Miami,50,$0.57
Brooklyn's Finest,Miami,50,"$10,954.93"
The Girl Who Played with Fire,Miami,50,"$3,663.87"
Harry Brown,Miami,50,$733.71
From Paris with Love,Miami,50,"$9,674.16"
Crossing Over,Miami,50,$183.22
12 Rounds,Miami,50,"$4,935.14"
Street Fighter: The Legend of Chun-Li,Miami,50,"$3,526.90"
Chopper,Miami,50,$94.51
The Whole Ten Yards,Miami,50,"$6,585.59"
Leviathan,Miami,50,$440.87
Wonderland,Miami,50,$426.06
P2,Miami,50,"$1,610.63"
Money Monster,Miami,50,"$16,545.53"
Raees,Miami,50,"$1,316.38"
In Secret,Miami,50,$169.55
Peter Rabbit 2: The Runaway,Miami,50,"$16,339.63"
Bad Education,Miami,50,"$2,102.62"
We Own the Night,Miami,50,"$11,523.26"
Sugar & Spice,Miami,50,"$5,356.33"
Don 2,Miami,50,"$1,484.75"
Super Dark Times,Miami,50,$13.36
The X Files: I Want to Believe,Miami,50,"$8,464.97"
3000 Miles to Graceland,Miami,50,"$6,349.45"
xXx: State of the Union,Miami,50,"$10,841.77"
Trespass,Miami,50,$6.78
The Informant!,Miami,50,"$13,439.72"
Skiptrace,Miami,50,$0.72
Don,Miami,50,$324.51
Man of the House,Miami,50,"$7,947.46"
The Whistleblower,Miami,50,$452.21
Blood Work,Miami,50,"$10,569.69"
99 Homes,Miami,50,$569.21
The Killer Inside Me,Miami,50,$86.72
Loving Pablo,Miami,50,$8.88
Transsiberian,Miami,50,$889.02
Kill the Messenger,Miami,50,$988.75
The Way of the Gun,Miami,50,"$2,443.04"
Ride Along 2,Miami,50,"$36,801.68"
Saw V,Miami,50,"$22,893.38"
Two for the Money,Miami,50,"$9,223.25"
No Good Deed,Miami,50,"$21,197.71"
Young Adam,Miami,50,$309.53
Texas Killing Fields,Miami,50,$18.27
Exit Wounds,Miami,50,"$20,881.00"
Narc,Miami,50,"$4,219.92"
Just Getting Started,Miami,50,"$2,448.66"
Undisputed,Miami,50,"$5,149.65"
Gemini,Miami,50,$80.82
Crocodile Dundee in Los Angeles,Miami,50,"$10,342.22"
Paul Blart: Mall Cop 2,Miami,50,"$28,658.98"
Life of Crime,Miami,50,$105.58
Postal,Miami,50,"$7,263.85"
Dark Blue,Miami,50,"$3,654.92"
Madea Goes to Jail,Miami,50,"$36,504.51"
Fighting,Miami,50,"$9,293.56"
Cowboy Bebop: The Movie,Miami,50,$403.45
Gringo,Miami,50,"$2,004.99"
Blindspotting,Miami,50,"$1,748.22"
The Conspirator,Miami,50,"$4,654.86"
Wild Target,Miami,50,$47.28
Oliver Twist,Miami,50,$801.73
The Salton Sea,Miami,50,$308.44
Mesrine: Killer Instinct,Miami,50,$222.56
The Kitchen,Miami,50,"$4,861.04"
Bel Ami,Miami,50,$48.38
Bullet to the Head,Miami,50,"$3,826.06"
SuperFly,Miami,50,"$8,288.53"
Drillbit Taylor,Miami,50,"$13,254.16"
Lakeview Terrace,Miami,50,"$15,840.10"
A Kind of Murder,Miami,50,$0.73
An Evening with Beverly Luff Linn,Miami,50,$2.10
Contraband,Miami,50,"$26,839.43"
Proud Mary,Miami,50,"$8,419.05"
Nurse Betty,Miami,50,"$10,153.25"
Alan Partridge,Miami,50,$61.41
The Protector,Miami,50,"$4,803.05"
Nancy Drew,Miami,50,"$10,332.87"
Party Monster,Miami,50,$293.80
Blood Ties,Miami,50,$16.63
Firewall,Miami,50,"$19,667.72"
Lions for Lambs,Miami,50,"$6,052.61"
Highwaymen,Miami,50,$148.07
